iPhone 12,Apple,4,128,929990,6.1,5G
Nokia G11,Nokia,3,64,179990,6.517,4G LTE
iPhone 12 mini,Apple,4,64,779990,5.4,5G
Redmi 10,Xiaomi,4,128,219990,6.497,4G LTE
Mi 10T Pro,Xiaomi,8,256,569990,6.67,5G
Moto E20,Motorola,2,32,109990,6.52,4G LTE
Galaxy Z Flip 4,Samsung,8,256,1249990,6.7,5G
